"Step","_m_M_512_e500_b16_lr0.01_standardized_3 - metrics/mAP_0.5","_m_M_512_e500_b16_lr0.01_standardized_3 - metrics/mAP_0.5__MIN","_m_M_512_e500_b16_lr0.01_standardized_3 - metrics/mAP_0.5__MAX","_m_M_512_e500_b16_lr0.01_standardized_2 - metrics/mAP_0.5","_m_M_512_e500_b16_lr0.01_standardized_2 - metrics/mAP_0.5__MIN","_m_M_512_e500_b16_lr0.01_standardized_2 - metrics/mAP_0.5__MAX","_m_M_512_e500_b16_lr0.01_2 - metrics/mAP_0.5","_m_M_512_e500_b16_lr0.01_2 - metrics/mAP_0.5__MIN","_m_M_512_e500_b16_lr0.01_2 - metrics/mAP_0.5__MAX","_m_M_512_e500_b16_lr0.01_3 - metrics/mAP_0.5","_m_M_512_e500_b16_lr0.01_3 - metrics/mAP_0.5__MIN","_m_M_512_e500_b16_lr0.01_3 - metrics/mAP_0.5__MAX","_m_M_512_e500_b16_lr0.01_standardized_1 - metrics/mAP_0.5","_m_M_512_e500_b16_lr0.01_standardized_1 - metrics/mAP_0.5__MIN","_m_M_512_e500_b16_lr0.01_standardized_1 - metrics/mAP_0.5__MAX","_m_M_512_e500_b16_lr0.01_1 - metrics/mAP_0.5","_m_M_512_e500_b16_lr0.01_1 - metrics/mAP_0.5__MIN","_m_M_512_e500_b16_lr0.01_1 - metrics/mAP_0.5__MAX"
"51","0.07839779774619132","0.07839779774619132","0.07839779774619132","0.1067231952404828","0.1067231952404828","0.1067231952404828","0.16064892833511338","0.16064892833511338","0.16064892833511338","0.07521151367122603","0.07521151367122603","0.07521151367122603","0.09456383714165277","0.09456383714165277","0.09456383714165277","0.05992871520352384","0.05992871520352384","0.05992871520352384"
"52","0.08740821866057058","0.08740821866057058","0.08740821866057058","0.1521155349758419","0.1521155349758419","0.1521155349758419","0.0845251941850101","0.0845251941850101","0.0845251941850101","0.13469173656719877","0.13469173656719877","0.13469173656719877","0.09047400019636172","0.09047400019636172","0.09047400019636172","0.11659151964460335","0.11659151964460335","0.11659151964460335"
"53","0.10636659382793123","0.10636659382793123","0.10636659382793123","0.0662669688314747","0.0662669688314747","0.0662669688314747","0.0396564150452529","0.0396564150452529","0.0396564150452529","0.08312235877999843","0.08312235877999843","0.08312235877999843","0.07295045189777422","0.07295045189777422","0.07295045189777422","0.07865572836155275","0.07865572836155275","0.07865572836155275"
"54","0.13455129921200637","0.13455129921200637","0.13455129921200637","0.09734093306821742","0.09734093306821742","0.09734093306821742","0.015538444612398117","0.015538444612398117","0.015538444612398117","0.09561810097303096","0.09561810097303096","0.09561810097303096","0.0869341661325202","0.0869341661325202","0.0869341661325202","0.06716803116989231","0.06716803116989231","0.06716803116989231"
"55","0.14963059496712777","0.14963059496712777","0.14963059496712777","0.08027070880228396","0.08027070880228396","0.08027070880228396","0.11331280685648908","0.11331280685648908","0.11331280685648908","0.10681866104800526","0.10681866104800526","0.10681866104800526","0.07999121771825976","0.07999121771825976","0.07999121771825976","0.058526071790521425","0.058526071790521425","0.058526071790521425"
"56","0.14314605194438892","0.14314605194438892","0.14314605194438892","0.1371157552964196","0.1371157552964196","0.1371157552964196","0.08763007821474916","0.08763007821474916","0.08763007821474916","0.07814755435673922","0.07814755435673922","0.07814755435673922","0.07867461157543404","0.07867461157543404","0.07867461157543404","0.0548166830535206","0.0548166830535206","0.0548166830535206"
"57","0.11362573869360833","0.11362573869360833","0.11362573869360833","0.10514556978971065","0.10514556978971065","0.10514556978971065","0.13733049955606724","0.13733049955606724","0.13733049955606724","0.0753215625126327","0.0753215625126327","0.0753215625126327","0.07541854824262627","0.07541854824262627","0.07541854824262627","0.09529799061129282","0.09529799061129282","0.09529799061129282"
"58","0.10995486476226746","0.10995486476226746","0.10995486476226746","0.09775315921394631","0.09775315921394631","0.09775315921394631","0.10311172500841122","0.10311172500841122","0.10311172500841122","0.06012045278167429","0.06012045278167429","0.06012045278167429","0.12080865374671336","0.12080865374671336","0.12080865374671336","0.06205973088151747","0.06205973088151747","0.06205973088151747"
"59","0.1754714838615122","0.1754714838615122","0.1754714838615122","0.18744531850292437","0.18744531850292437","0.18744531850292437","0.14561822823800125","0.14561822823800125","0.14561822823800125","0.13250313420895177","0.13250313420895177","0.13250313420895177","0.14789525461617817","0.14789525461617817","0.14789525461617817","0.23302429490347915","0.23302429490347915","0.23302429490347915"
"60","0.08789750854977865","0.08789750854977865","0.08789750854977865","0.08626742779894137","0.08626742779894137","0.08626742779894137","0.16110921136390116","0.16110921136390116","0.16110921136390116","0.06440429465324247","0.06440429465324247","0.06440429465324247","0.1249332642680147","0.1249332642680147","0.1249332642680147","0.07662644659013645","0.07662644659013645","0.07662644659013645"
